acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
0.0,6.5,0.0,43.1,-94.7,84.9,0.0,6.5,0.0,43.1,-94.7,84.9,14.4,2.2,0.0,43.1,-94.7,84.9,14.4,2.2,0.0,-83.8,60.4,-179.6,11.9,3.0,0.1,-83.8,60.4,-179.6,11.9,3.0,0.1,58.6,2.9,213.6,11.9,3.0,0.1,58.6,2.9,213.6,2.3,6.2,0.1,58.6,2.9,213.6,2.3,6.2,0.1,18.3,-42.3,19.3,11.7,2.4,0.0,18.3,-42.3,19.3,0
-8.3,-22.9,-11.1,-89.3,11.6,-251.0,-8.3,-22.9,-11.1,42.2,3.7,245.1,0.3,-0.2,2.0,42.2,3.7,245.1,0.3,-0.2,2.0,-100.5,36.6,-169.5,4.1,-20.6,-15.3,-100.5,36.6,-169.5,4.1,-20.6,-15.3,213.3,75.4,147.8,-4.7,-0.8,1.9,213.3,75.4,147.8,-4.7,-0.8,1.9,-116.6,11.5,-26.4,5.0,-4.2,-4.1,-116.6,11.5,-26.4,5.0,-4.2,-4.1,-0.4,59.7,-92.9,1
2.1,2.2,9.1,-56.1,-365.4,-45.3,2.1,2.2,9.1,-56.1,-365.4,-45.3,-0.1,4.3,6.6,-56.1,-365.4,-45.3,-0.1,4.3,6.6,6.4,-21.9,25.5,0.1,1.9,9.8,6.4,-21.9,25.5,0.1,1.9,9.8,11.1,17.1,-22.1,0.1,1.9,9.8,11.1,17.1,-22.1,2.6,0.0,10.5,11.1,17.1,-22.1,2.6,0.0,10.5,-99.8,-674.7,-100.0,0.0,4.1,6.8,-99.8,-674.7,-100.0,1
8.6,0.0,-11.5,68.3,-22.0,50.3,0.0,2.8,0.0,68.3,-22.0,50.3,0.0,2.8,0.0,0.0,11.8,-51.7,4.3,0.0,-20.0,0.0,11.8,-51.7,4.3,0.0,-20.0,-59.0,33.8,22.8,-0.1,4.3,-0.1,-59.0,33.8,22.8,-0.1,4.3,-0.1,-4.6,14.0,-93.9,-0.1,13.3,-11.4,-4.6,14.0,-93.9,-0.1,13.3,-11.4,-5.6,-84.4,28.0,0.1,2.9,0.1,-5.6,-84.4,28.0,1
5.2,5.9,0.5,-20.2,30.8,41.8,7.9,11.4,9.8,-20.2,30.8,41.8,7.9,11.4,9.8,3.2,126.1,8.0,-3.6,2.6,-1.1,3.2,126.1,8.0,-3.6,2.6,-1.1,-15.5,-99.9,25.5,4.7,5.0,16.9,-15.5,-99.9,25.5,4.7,5.0,16.9,-31.5,98.9,-71.3,0.0,3.3,0.0,-31.5,98.9,-71.3,0.0,3.3,0.0,-34.8,-81.9,19.1,1.9,0.0,19.1,-34.8,-81.9,19.1,1
-1.3,4.1,0.0,-167.2,-91.3,-67.4,-1.3,4.1,0.0,-153.5,-233.6,-89.0,6.8,0.0,17.1,-153.5,-233.6,-89.0,6.8,0.0,17.1,-83.8,-10.7,-55.6,2.4,3.6,0.0,-83.8,-10.7,-55.6,2.4,3.6,0.0,-393.4,-754.6,-481.6,6.3,0.0,16.9,-393.4,-754.6,-481.6,6.3,0.0,16.9,-70.2,-34.3,-60.6,0.0,3.6,0.0,-70.2,-34.3,-60.6,0.0,3.6,0.0,-337.0,-871.3,-503.9,1
10.0,-2.1,-17.2,-90.1,7.5,-512.4,10.0,-2.1,-17.2,101.6,-96.5,312.9,-5.7,-12.3,-51.1,101.6,-96.5,312.9,-5.7,-12.3,-51.1,176.4,298.7,64.4,-4.3,15.5,-5.1,176.4,298.7,64.4,-4.3,15.5,-5.1,-143.7,39.5,-523.3,5.5,-1.1,-16.0,-143.7,39.5,-523.3,5.5,-1.1,-16.0,119.2,-293.3,237.8,-15.1,-22.0,-40.5,119.2,-293.3,237.8,-15.1,-22.0,-40.5,24.5,213.6,272.1,0
13.3,2.2,0.1,-80.4,52.0,-185.6,13.3,2.2,0.1,-80.4,52.0,-185.6,9.8,3.6,-0.1,-80.4,52.0,-185.6,9.8,3.6,-0.1,53.6,-11.6,193.2,3.1,5.6,-0.1,53.6,-11.6,193.2,3.1,5.6,-0.1,-32.2,4.7,-32.5,3.1,5.6,-0.1,-32.2,4.7,-32.5,11.9,2.5,0.0,-32.2,4.7,-32.5,11.9,2.5,0.0,0.9,23.3,1.6,0.1,6.3,0.1,0.9,23.3,1.6,0
-5.3,-1.7,-12.1,-4.1,-64.2,13.0,-5.3,-1.7,-12.1,-115.9,46.2,91.3,-1.4,0.1,-1.0,-115.9,46.2,91.3,-1.4,0.1,-1.0,-3.3,-58.8,-32.9,-15.9,-4.7,-7.2,-3.3,-58.8,-32.9,-15.9,-4.7,-7.2,-129.2,31.6,157.3,0.0,0.0,1.2,-129.2,31.6,157.3,0.0,0.0,1.2,-23.0,-26.0,-76.4,-19.8,-2.4,-5.7,-23.0,-26.0,-76.4,-19.8,-2.4,-5.7,-5.4,45.3,101.1,0
-1.3,3.4,2.6,-69.0,-107.9,-35.6,-1.3,3.4,2.6,12.4,-144.6,0.5,5.6,0.1,15.4,12.4,-144.6,0.5,5.6,0.1,15.4,-60.7,-133.3,-32.9,-0.1,3.5,1.3,-60.7,-133.3,-32.9,-0.1,3.5,1.3,-254.3,-840.6,-291.4,3.6,0.0,16.1,-254.3,-840.6,-291.4,3.6,0.0,16.1,-65.6,-46.5,-25.8,0.0,2.5,0.8,-65.6,-46.5,-25.8,0.0,2.5,0.8,-60.4,-432.6,-170.7,1
4.3,0.0,16.9,70.8,-23.4,59.5,4.3,0.0,16.9,-67.0,-51.6,-37.5,0.3,4.0,-0.1,-67.0,-51.6,-37.5,0.3,4.0,-0.1,0.0,0.0,0.0,2.6,-0.1,16.8,0.0,0.0,0.0,2.6,-0.1,16.8,-58.8,-24.3,-43.3,1.1,3.2,-0.1,-58.8,-24.3,-43.3,1.1,3.2,-0.1,154.5,1022.7,562.9,3.0,1.0,16.0,154.5,1022.7,562.9,3.0,1.0,16.0,-61.3,-52.3,-39.1,1
-14.9,-33.8,-33.0,-202.5,110.6,-92.0,-14.9,-33.8,-33.0,5.6,58.0,392.4,-1.4,7.2,-1.6,5.6,58.0,392.4,-1.4,7.2,-1.6,-138.1,76.6,-361.3,-13.1,0.1,-5.2,-138.1,76.6,-361.3,-13.1,0.1,-5.2,-205.5,57.7,142.7,21.5,-12.8,-24.1,-205.5,57.7,142.7,21.5,-12.8,-24.1,323.2,252.2,94.6,-3.2,5.5,-1.5,323.2,252.2,94.6,-3.2,5.5,-1.5,-186.3,186.2,-196.3,1
0.1,6.6,0.1,35.4,15.5,130.7,0.1,6.6,0.1,53.0,-84.3,74.9,0.1,6.6,0.1,53.0,-84.3,74.9,12.3,2.0,-0.1,53.0,-84.3,74.9,12.3,2.0,-0.1,-66.1,36.1,-176.6,8.5,3.8,0.0,-66.1,36.1,-176.6,8.5,3.8,0.0,50.5,-19.0,187.6,6.5,4.5,0.0,50.5,-19.0,187.6,6.5,4.5,0.0,50.5,-19.0,187.6,6.5,4.5,0.0,-49.7,30.3,-60.9,0
