acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
-1.7,8.6,-1.0,192.4,58.3,330.0,-1.7,8.6,-1.0,-210.4,67.5,-228.3,-26.9,-11.0,-18.2,-210.4,67.5,-228.3,-26.9,-11.0,-18.2,-167.0,42.2,218.7,18.4,-2.8,-20.5,-167.0,42.2,218.7,18.4,-2.8,-20.5,364.0,226.4,25.0,-6.3,11.1,-0.1,364.0,226.4,25.0,-6.3,11.1,-0.1,-259.9,136.5,-143.9,-18.6,-32.0,-33.2,-259.9,136.5,-143.9,-18.6,-32.0,-33.2,-31.3,-22.9,342.1,1
-0.6,9.2,-10.2,-31.3,-22.9,342.1,-0.6,9.2,-10.2,98.2,415.7,-305.1,-16.1,1.8,-9.6,98.2,415.7,-305.1,-16.1,1.8,-9.6,-260.0,58.4,50.7,14.9,-24.2,-31.7,-260.0,58.4,50.7,14.9,-24.2,-31.7,295.7,137.9,231.4,-2.7,10.4,0.6,295.7,137.9,231.4,-2.7,10.4,0.6,-230.7,59.1,-252.6,-25.1,-12.0,-16.8,-230.7,59.1,-252.6,-25.1,-12.0,-16.8,-106.8,-24.1,280.1,1
21.4,4.0,-21.2,-106.8,-24.1,280.1,21.4,4.0,-21.2,235.0,243.0,-166.4,-9.8,3.4,-4.0,235.0,243.0,-166.4,-9.8,3.4,-4.0,-220.9,40.0,2.5,1.1,-29.8,-29.0,-220.9,40.0,2.5,1.1,-29.8,-29.0,221.8,52.1,318.2,-5.8,4.8,-2.2,221.8,52.1,318.2,-5.8,4.8,-2.2,-252.9,94.4,-176.9,-25.1,-14.8,-17.7,-252.9,94.4,-176.9,-25.1,-14.8,-17.7,-108.2,-12.4,267.5,1
15.8,6.0,-17.5,-108.2,-12.4,267.5,15.8,6.0,-17.5,222.9,210.0,-157.7,-14.7,2.1,-7.9,222.9,210.0,-157.7,-14.7,2.1,-7.9,-219.9,42.9,17.2,11.0,-31.1,-30.3,-219.9,42.9,17.2,11.0,-31.1,-30.3,265.8,48.2,255.6,-1.8,8.1,0.6,265.8,48.2,255.6,-1.8,8.1,0.6,-205.6,23.3,-226.7,-16.5,-20.2,-25.4,-205.6,23.3,-226.7,-16.5,-20.2,-25.4,-30.1,-21.3,313.6,1
2.2,8.4,-9.7,-30.1,-21.3,313.6,2.2,8.4,-9.7,19.9,311.0,-317.0,-15.7,-0.1,-7.1,19.9,311.0,-317.0,-15.7,-0.1,-7.1,-197.9,24.7,66.2,15.1,-7.6,-27.9,-197.9,24.7,66.2,15.1,-7.6,-27.9,238.4,304.3,20.2,-8.9,3.5,0.5,238.4,304.3,20.2,-8.9,3.5,0.5,-139.7,-201.1,-52.4,13.7,8.6,-38.5,-139.7,-201.1,-52.4,13.7,8.6,-38.5,-29.6,247.4,204.7,1
-5.3,7.2,4.8,-29.6,247.4,204.7,-5.3,7.2,4.8,-178.3,-158.1,-189.0,-16.0,9.9,-18.0,-178.3,-158.1,-189.0,-16.0,9.9,-18.0,-44.7,-68.2,226.5,18.8,16.7,-13.8,-44.7,-68.2,226.5,18.8,16.7,-13.8,11.0,316.2,-71.1,-5.1,7.0,4.2,11.0,316.2,-71.1,-5.1,7.0,4.2,-173.3,-161.5,-189.5,-15.5,7.1,-10.4,-173.3,-161.5,-189.5,-15.5,7.1,-10.4,-124.7,-152.3,113.3,1
1.0,3.9,-38.5,-124.7,-152.3,113.3,1.0,3.9,-38.5,55.3,143.1,226.8,15.2,14.3,-3.3,55.3,143.1,226.8,15.2,14.3,-3.3,-65.3,214.8,-117.1,-6.3,7.2,4.3,-65.3,214.8,-117.1,-6.3,7.2,4.3,-120.4,-191.5,-154.9,-15.3,6.9,-30.7,-120.4,-191.5,-154.9,-15.3,6.9,-30.7,-23.4,-26.2,281.2,9.3,15.5,0.8,-23.4,-26.2,281.2,9.3,15.5,0.8,-89.0,148.1,-239.7,1
-12.4,6.9,-6.6,-89.0,148.1,-239.7,-12.4,6.9,-6.6,-116.9,-158.3,71.3,21.7,12.9,-29.9,-116.9,-158.3,71.3,21.7,12.9,-29.9,38.6,295.4,83.1,-4.1,6.9,6.4,38.6,295.4,83.1,-4.1,6.9,6.4,-51.8,-190.6,-138.0,8.4,13.6,-30.5,-51.8,-190.6,-138.0,8.4,13.6,-30.5,150.8,160.6,35.8,-9.5,6.9,2.7,150.8,160.6,35.8,-9.5,6.9,2.7,-183.7,-216.5,56.4,1
1.5,9.3,-20.7,-183.7,-216.5,56.4,1.5,9.3,-20.7,51.4,121.7,172.3,8.6,24.0,18.2,51.4,121.7,172.3,8.6,24.0,18.2,-197.2,21.2,-248.5,-8.1,1.8,-7.5,-197.2,21.2,-248.5,-8.1,1.8,-7.5,-76.3,-62.7,206.0,39.2,23.2,-16.7,-76.3,-62.7,206.0,39.2,23.2,-16.7,50.9,334.8,-67.9,-9.4,4.7,0.1,50.9,334.8,-67.9,-9.4,4.7,0.1,-181.5,-239.7,51.9,1
5.8,9.4,-25.1,-181.5,-239.7,51.9,5.8,9.4,-25.1,56.1,131.5,215.9,5.7,21.8,14.5,56.1,131.5,215.9,5.7,21.8,14.5,-83.5,-55.4,-288.2,-8.4,2.8,-9.0,-83.5,-55.4,-288.2,-8.4,2.8,-9.0,-52.9,-30.1,224.1,36.5,19.9,-8.6,-52.9,-30.1,224.1,36.5,19.9,-8.6,67.0,271.3,-136.0,-7.1,7.3,1.7,67.0,271.3,-136.0,-7.1,7.3,1.7,-210.3,-196.4,25.2,1
